,city,cloudiness,country,date,humidity,lat,lon,name,temp,wind
0,carahue,0,CL,1567465148,32,-38.71,-73.16,Carahue,53.6,10.29
1,broome,80,GB,1567465175,67,52.47,1.45,Broome,63.0,11.41
2,maravatio,40,MX,1567465175,41,19.89,-100.44,Maravatio,78.8,9.17
3,salekhard,100,RU,1567465175,84,66.54,66.62,Salekhard,43.64,1.59
4,ushuaia,75,AR,1567465175,97,-54.81,-68.31,Ushuaia,35.6,31.09
5,saint-philippe,40,CA,1567465176,94,45.36,-73.48,Saint-Philippe,69.8,5.95
6,jamestown,23,AU,1567464955,79,-33.21,138.6,Jamestown,58.04,9.69
7,dunedin,22,NZ,1567465084,49,-45.87,170.5,Dunedin,61.0,5.01
8,mahajanga,20,MG,1567465176,83,-15.72,46.32,Mahajanga,73.4,2.24
9,saskylakh,10,RU,1567465176,70,71.97,114.09,Saskylakh,38.06,11.7
10,saskylakh,10,RU,1567465176,70,71.97,114.09,Saskylakh,38.06,11.7
11,chancay,90,PE,1567465177,77,-11.56,-77.27,Chancay,62.6,9.17
12,high level,75,CA,1567465177,67,58.52,-117.13,High Level,60.8,2.24
13,high level,75,CA,1567465177,67,58.52,-117.13,High Level,60.8,2.24
14,kedougou,98,SN,1567465177,94,12.56,-12.19,Kedougou,74.6,2.51
15,chokurdakh,80,RU,1567465178,57,70.62,147.9,Chokurdakh,45.8,5.01
16,vrangel,0,RU,1567465178,63,42.73,133.08,Vrangel,70.28,1.97
17,cam ranh,75,VN,1567465178,94,11.92,109.15,Cam Ranh,78.8,9.17
18,rudovci,0,RS,1567465178,56,44.38,20.41,Rudovci,71.6,8.05
19,ginda,21,IN,1567465179,90,30.69,78.49,Ginda,59.3,3.04
20,rikitea,93,PF,1567465179,91,-23.12,-134.97,Rikitea,69.74,27.72
21,mar del plata,44,AR,1567465179,57,-46.43,-67.52,Mar del Plata,38.42,11.79
22,okhotsk,91,RU,1567465179,63,59.36,143.24,Okhotsk,58.76,2.93
23,flin flon,90,CA,1567465179,66,54.77,-101.88,Flin Flon,53.6,11.41
24,siavonga,4,ZW,1567465180,63,-16.54,28.71,Siavonga,73.16,10.87
25,nikolskoye,0,RU,1567465180,82,59.7,30.79,Nikolskoye,64.0,4.47
